Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
12,100,QuickSortGPT,668592,,,,,
12,100,SelectionSortGPT,386396,,,,,
12,100,BubbleSortUntilNoChange,681684,,,,,
12,100,BubbleSortWhileNeeded,369257,,,,,
12,1000,QuickSortGPT,6738978,,,,,
12,1000,SelectionSortGPT,5919189,,,,,
12,1000,BubbleSortUntilNoChange,13577874,,,,,
12,1000,BubbleSortWhileNeeded,10498147,,,,,
12,5000,QuickSortGPT,51567233,,,,,
12,5000,SelectionSortGPT,49153435,,,,,
12,5000,BubbleSortUntilNoChange,115626173,,,,,
12,5000,BubbleSortWhileNeeded,91808778,,,,,
12,10000,QuickSortGPT,151025992,,,,,
12,10000,SelectionSortGPT,94430303,,,,,
12,10000,BubbleSortUntilNoChange,363733946,,,,,
12,10000,BubbleSortWhileNeeded,231037470,,,,,
12,20000,QuickSortGPT,711290896,,,,,
12,20000,SelectionSortGPT,451940984,,,,,
12,20000,BubbleSortUntilNoChange,1811676099,,,,,
12,20000,BubbleSortWhileNeeded,1396960052,,,,,
13,100,QuickSortGPT,690491,,,,,
13,100,SelectionSortGPT,393994,,,,,
13,100,BubbleSortUntilNoChange,700235,,,,,
13,100,BubbleSortWhileNeeded,365134,,,,,
13,1000,QuickSortGPT,6897286,,,,,
13,1000,SelectionSortGPT,5733512,,,,,
13,1000,BubbleSortUntilNoChange,14661324,,,,,
13,1000,BubbleSortWhileNeeded,10053693,,,,,
13,5000,QuickSortGPT,51509661,,,,,
13,5000,SelectionSortGPT,49244090,,,,,
13,5000,BubbleSortUntilNoChange,111834599,,,,,
13,5000,BubbleSortWhileNeeded,89435554,,,,,
13,10000,QuickSortGPT,160711609,,,,,
13,10000,SelectionSortGPT,93183272,,,,,
13,10000,BubbleSortUntilNoChange,351322982,,,,,
13,10000,BubbleSortWhileNeeded,228937190,,,,,
13,20000,QuickSortGPT,718020342,,,,,
13,20000,SelectionSortGPT,451594594,,,,,
13,20000,BubbleSortUntilNoChange,1931953013,,,,,
13,20000,BubbleSortWhileNeeded,1398439408,,,,,
14,100,QuickSortGPT,662809,,,,,
14,100,SelectionSortGPT,380595,,,,,
14,100,BubbleSortUntilNoChange,703585,,,,,
14,100,BubbleSortWhileNeeded,390242,,,,,
14,1000,QuickSortGPT,6358148,,,,,
14,1000,SelectionSortGPT,5560575,,,,,
14,1000,BubbleSortUntilNoChange,13449700,,,,,
14,1000,BubbleSortWhileNeeded,10451607,,,,,
14,5000,QuickSortGPT,50481694,,,,,
14,5000,SelectionSortGPT,45568612,,,,,
14,5000,BubbleSortUntilNoChange,111163313,,,,,
14,5000,BubbleSortWhileNeeded,94838688,,,,,
14,10000,QuickSortGPT,152942257,,,,,
14,10000,SelectionSortGPT,95725840,,,,,
14,10000,BubbleSortUntilNoChange,351997135,,,,,
14,10000,BubbleSortWhileNeeded,235932297,,,,,
14,20000,QuickSortGPT,718643423,,,,,
14,20000,SelectionSortGPT,441328103,,,,,
14,20000,BubbleSortUntilNoChange,1811071347,,,,,
14,20000,BubbleSortWhileNeeded,1358060407,,,,,
15,100,QuickSortGPT,672764,,,,,
15,100,SelectionSortGPT,406102,,,,,
15,100,BubbleSortUntilNoChange,651612,,,,,
15,100,BubbleSortWhileNeeded,380643,,,,,
15,1000,QuickSortGPT,6914971,,,,,
15,1000,SelectionSortGPT,5584272,,,,,
15,1000,BubbleSortUntilNoChange,13493069,,,,,
15,1000,BubbleSortWhileNeeded,10547697,,,,,
15,5000,QuickSortGPT,50613686,,,,,
15,5000,SelectionSortGPT,46913711,,,,,
15,5000,BubbleSortUntilNoChange,118778205,,,,,
15,5000,BubbleSortWhileNeeded,93593659,,,,,
15,10000,QuickSortGPT,149099256,,,,,
15,10000,SelectionSortGPT,97356682,,,,,
15,10000,BubbleSortUntilNoChange,364171764,,,,,
15,10000,BubbleSortWhileNeeded,231901871,,,,,
15,20000,QuickSortGPT,697430586,,,,,
15,20000,SelectionSortGPT,432026543,,,,,
15,20000,BubbleSortUntilNoChange,1915803577,,,,,
15,20000,BubbleSortWhileNeeded,1340714360,,,,,
16,100,QuickSortGPT,699119,,,,,
16,100,SelectionSortGPT,381259,,,,,
16,100,BubbleSortUntilNoChange,675615,,,,,
16,100,BubbleSortWhileNeeded,373021,,,,,
16,1000,QuickSortGPT,6858481,,,,,
16,1000,SelectionSortGPT,6026730,,,,,
16,1000,BubbleSortUntilNoChange,13818374,,,,,
16,1000,BubbleSortWhileNeeded,10605834,,,,,
16,5000,QuickSortGPT,52602177,,,,,
16,5000,SelectionSortGPT,48661704,,,,,
16,5000,BubbleSortUntilNoChange,121155113,,,,,
16,5000,BubbleSortWhileNeeded,91875079,,,,,
16,10000,QuickSortGPT,161803617,,,,,
16,10000,SelectionSortGPT,96670143,,,,,
16,10000,BubbleSortUntilNoChange,350643380,,,,,
16,10000,BubbleSortWhileNeeded,235028314,,,,,
16,20000,QuickSortGPT,660354951,,,,,
16,20000,SelectionSortGPT,458300799,,,,,
16,20000,BubbleSortUntilNoChange,1768036268,,,,,
16,20000,BubbleSortWhileNeeded,1316451679,,,,,
17,100,QuickSortGPT,650848,,,,,
17,100,SelectionSortGPT,386455,,,,,
17,100,BubbleSortUntilNoChange,655026,,,,,
17,100,BubbleSortWhileNeeded,377749,,,,,
17,1000,QuickSortGPT,6517591,,,,,
17,1000,SelectionSortGPT,5661403,,,,,
17,1000,BubbleSortUntilNoChange,14256849,,,,,
17,1000,BubbleSortWhileNeeded,9887002,,,,,
17,5000,QuickSortGPT,50370923,,,,,
17,5000,SelectionSortGPT,49059418,,,,,
17,5000,BubbleSortUntilNoChange,114691623,,,,,
17,5000,BubbleSortWhileNeeded,93989926,,,,,
17,10000,QuickSortGPT,154728249,,,,,
17,10000,SelectionSortGPT,92890492,,,,,
17,10000,BubbleSortUntilNoChange,375686542,,,,,
17,10000,BubbleSortWhileNeeded,236396403,,,,,
17,20000,QuickSortGPT,725049454,,,,,
17,20000,SelectionSortGPT,434809096,,,,,
17,20000,BubbleSortUntilNoChange,1929527276,,,,,
17,20000,BubbleSortWhileNeeded,1419988671,,,,,
18,100,QuickSortGPT,668614,,,,,
18,100,SelectionSortGPT,368665,,,,,
18,100,BubbleSortUntilNoChange,641351,,,,,
18,100,BubbleSortWhileNeeded,379687,,,,,
18,1000,QuickSortGPT,6788720,,,,,
18,1000,SelectionSortGPT,5675989,,,,,
18,1000,BubbleSortUntilNoChange,14542337,,,,,
18,1000,BubbleSortWhileNeeded,9850677,,,,,
18,5000,QuickSortGPT,50980461,,,,,
18,5000,SelectionSortGPT,48761182,,,,,
18,5000,BubbleSortUntilNoChange,114669163,,,,,
18,5000,BubbleSortWhileNeeded,94941614,,,,,
18,10000,QuickSortGPT,152063341,,,,,
18,10000,SelectionSortGPT,96408913,,,,,
18,10000,BubbleSortUntilNoChange,363628719,,,,,
18,10000,BubbleSortWhileNeeded,234117487,,,,,
18,20000,QuickSortGPT,715137861,,,,,
18,20000,SelectionSortGPT,452006826,,,,,
18,20000,BubbleSortUntilNoChange,1814118792,,,,,
18,20000,BubbleSortWhileNeeded,1422716383,,,,,
19,100,QuickSortGPT,668141,,,,,
19,100,SelectionSortGPT,378273,,,,,
19,100,BubbleSortUntilNoChange,657720,,,,,
19,100,BubbleSortWhileNeeded,361448,,,,,
19,1000,QuickSortGPT,6495772,,,,,
19,1000,SelectionSortGPT,5901322,,,,,
19,1000,BubbleSortUntilNoChange,14591603,,,,,
19,1000,BubbleSortWhileNeeded,10083384,,,,,
19,5000,QuickSortGPT,52401045,,,,,
19,5000,SelectionSortGPT,48531672,,,,,
19,5000,BubbleSortUntilNoChange,117771195,,,,,
19,5000,BubbleSortWhileNeeded,89642018,,,,,
19,10000,QuickSortGPT,150801514,,,,,
19,10000,SelectionSortGPT,94445890,,,,,
19,10000,BubbleSortUntilNoChange,368400834,,,,,
19,10000,BubbleSortWhileNeeded,222634070,,,,,
19,20000,QuickSortGPT,720325178,,,,,
19,20000,SelectionSortGPT,430814036,,,,,
19,20000,BubbleSortUntilNoChange,1830989270,,,,,
19,20000,BubbleSortWhileNeeded,1341822780,,,,,
20,100,QuickSortGPT,663202,,,,,
20,100,SelectionSortGPT,398574,,,,,
20,100,BubbleSortUntilNoChange,656202,,,,,
20,100,BubbleSortWhileNeeded,390438,,,,,
20,1000,QuickSortGPT,6516417,,,,,
20,1000,SelectionSortGPT,5667765,,,,,
20,1000,BubbleSortUntilNoChange,13431128,,,,,
20,1000,BubbleSortWhileNeeded,10518179,,,,,
20,5000,QuickSortGPT,55111417,,,,,
20,5000,SelectionSortGPT,46638501,,,,,
20,5000,BubbleSortUntilNoChange,110133203,,,,,
20,5000,BubbleSortWhileNeeded,95776307,,,,,
20,10000,QuickSortGPT,150586451,,,,,
20,10000,SelectionSortGPT,99148714,,,,,
20,10000,BubbleSortUntilNoChange,346340065,,,,,
20,10000,BubbleSortWhileNeeded,229819375,,,,,
20,20000,QuickSortGPT,703973708,,,,,
20,20000,SelectionSortGPT,428539221,,,,,
20,20000,BubbleSortUntilNoChange,1860328139,,,,,
20,20000,BubbleSortWhileNeeded,1370228362,,,,,
